label,area_px,perimeter_px,circularity,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,luminance
3,10.0,11.656854152679443,0.9247985466222429,1740.5,162.0,1739,160,4,5,20
2,553.5,88.6690468788147,0.8846742955108189,261.24131944444446,172.72916666666666,247,159,29,27,23
5,466.5,82.32590126991272,0.8649450634230568,316.32704402515725,175.61006289308176,304,162,26,28,29
4,687.5,97.84061932563782,0.9024937029178244,211.49658002735978,178.3419972640219,197,163,30,30,16
9,13.5,13.899494767189026,0.8781032888825036,1731.15,230.7,1729,228,5,6,80
7,509.0,85.25483322143555,0.880014094683403,318.7808219178082,232.54207436399219,305,220,28,26,27
6,562.0,90.08326005935669,0.8702779705073653,265.2859589041096,233.72431506849315,251,220,29,28,32
8,633.0,94.91168713569641,0.8830274150991505,216.29970326409494,239.13946587537092,202,223,29,31,26
